stimulus,left_image,right_image,condition,target_side,correct_response,background
Intro,ocean-left,ocean-right,Filler,L,0,black-background
Strawberry_Find,strawberry,black,Fam-Food,L,0,black-background
Airplane_Look,black,airplane,Fam-Veh,R,1,black-background
Carrots_Find,black,carrots,Fam-Food,R,1,black-background
Milk_Where,milk,black,Fam-Food,L,0,black-background
Train_Where,train,black,Fam-Veh,L,0,black-background
Boat_Look,boat,black,Fam-Veh,L,0,black-background
Bike_Find,black,bike,Fam-Veh,R,1,black-background
Truck_Look,truck,black,Fam-Veh,L,0,black-background
Cookie_Find,black,cookie,Fam-Food,R,1,black-background
Banana_Where,black,banana,Fam-Food,R,1,black-background
Peas_Look,peas,black,Fam-Food,L,0,black-background
Car_Where,black,car,Fam-Veh,R,1,black-background
Blocks_Find,doll,blocks,Filler,R,1,black-background
Doll_Where,doll,blocks,Filler,L,0,black-background
Boat_Where,yellow,red,Test-Food,L,0,black-background
Carrots_Look,orange,white,Test-Veh,L,0,black-background
Peas_Find,green,brown,Test-Veh,L,0,black-background
Bike_Where,orange,white,Test-Food,R,1,black-background
Strawberry_Where,yellow,red,Test-Food,R,1,black-background
Train_Find,brown,green,Test-Veh,L,0,black-background
Airplane_Find,brown,green,Test-Food,R,1,black-background
Banana_Find,red,yellow,Test-Veh,R,1,black-background
Milk_Find,white,orange,Test-Food,L,0,black-background
Cookie_Where,green,brown,Test-Veh,R,1,black-background
Truck_Find,white,orange,Test-Veh,R,1,black-background
Car_Look,red,yellow,Test-Food,L,0,black-background
End,fireworks-left,fireworks-right,Filler,L,0,black-background
